,prompt,completion,brief_type,data_type,file_path,file_name
368,"Solexa seeks clarification of, and leave to file a motion, seeking reconsideration of, the Court’s August 22, 2008 Order. Solexa requests that the Court clarify that its grant of summary judgment of. non-infringement regarding the ‘341 and ‘597 patents applies only to the “two-base-encoding” version. of the SOLiD System. In its opposition, AB expressly admitted that counsel has indicated that it considers the Order as having “resolved the issue” of patent infringement by having one- Base Encoding version and one-Base Encoding left as having left. AB, in its brief, admitted that it was the sole subject of AB’S arguments regarding the limitation. AB admitted that AB was satisfied the � “identifying” limitation was satisfied.
 Judgment -->", deny,support,train,457,gov.uscourts.cand.192674.236.0.txt
369,"The Court’s Order is correct in all respects. The SOLiD System employing two-base encoding does not infringe the ’341 or ’597 patents. The Court correctly ruled that Illumina waived the doctrine of equivalents as to the ‘341 and ’513 patents by failing to. respond to AB’ s direct and specific (not “vague and conclusory”) doctrine of. equivalents in its Summary Judgment Motion. This does15not mean, as argued by Illumina, that it is entitled to. reconsideration, as it is argued by AB, that one-base does not mean ‘one-base’ or ‘two-base,’ and that the prototype the. SoliD uses is not required by the patent claims.
 Judgment -->", deny,opposition,train,457,gov.uscourts.cand.192674.250.0.txt
370,"KENT HOVIND submits that the jury in the upcoming trial should know as little as possible about these other charges because they are irrelevant to the forfeiture verdict. Hovind realizes that it would be very difficult to keep the jury from being made aware of the fact that he was convicted of and sentenced for these other counts. Counsel has been unable to confer with Assistant U.S. Attorney Tiffany Eggersrophicregarding this motion (she is in trial).RESPECTFULLY SUBMITTED this 5th day of May 2015. CERTIFY that a copy of the foregoing has been furnished to TIFFANY E.EGGERS, Assistant United States Attorney, 21 E. Garden Street, Suite 400, Pensacola, FL 32502.
 Judgment -->", deny,support,train,306,gov.uscourts.flnd.78373.173.0.txt
371,"The United States of America files this response to defendant Kent E. Hovind’s Motion in Limine Regarding Charges in Original Case. Sentencing is scheduled on said counts for June 12, 2015. The government notes that each of these exhibits were included in the list of exhibits the government anticipatedintroducing at trial. Neither party objected to the exhibits’ introduction during the first trial. The defendant contends that these documents “revealal. all of the charges against him and his wife, including those unrelated to the. charges against the defendant and those related to the forfeiture to the jury (Exhibit 4a)” The government disagrees, saying that the charges were inextricably intertwined in the overall scheme of conduct of the defendant.
 Judgment -->", deny,opposition,train,306,gov.uscourts.flnd.78373.183.0.txt
372,"Rock-Tenn Services, Inc. submits the following memorandum of law in support of its Motion for Summary Judgment. Plaintiff Brandon Prince alleges that Rock-Tenn violated his rights under the Massachusetts Privacy Act, G.L. c 214, §1B and the Massachusetts Worker’s Compensation statute. Plaintiff voluntarily resigned from his employment with RockTenn on October 11, 2011. The undisputed evidence shows that no reasonable juror could find in Plaintiff’S favor on either of his two counts. The Court should grant Rock- Tenn’‘s Motion for. Summary Judgment and dismiss Plaintiff's Complaint in its entirety,’ the motion states. The moving party is entitled to a judgment as a matter of law as to each of the two counts, the motion adds.
 Judgment -->", grant,support,train,376,gov.uscourts.mad.145379.21.0.txt
373,"Brandon Prince was injured on the job at 1:40 a.m. on September 27, 2011. Prince was working on the 450 die cut machine. The machine is not linked to the bundle breaker and the photo eyes on the conveyor. The bundles kept on pushing and pushing until they pushed Prince right into the machine, pinning him there until he threw the bundles on the ground to free himself. Rock Tenn Services, Inc., (“Rock Tenn”) is a corporation headquartered in Norcross, Georgia, but with a facility located in Devens, Massachusetts. Prince claims he was discriminated and retaliated against by his employer because he suffered a worker’s compensation injury and whose privacy was knowinglyviolated by that employer. He says he was never contacted by anyone regarding this, but he was told that anyone who knew this was wrong called that Human Resources Manager to report this.
 Judgment -->", grant,opposition,train,376,gov.uscourts.mad.145379.26.0.txt
374,"MOTION FOR SUMMARY JUDGMENTION OF DEFENDANT, INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL UNION No. 830 AGAINST PLAINTIFF, Marlayna G. TILLMAN. Case 1:04-cv-01314-SLR Document105 ~~ Filed 03/22/2007 Page 1 of 2. Case No. 04-1314 - SLR NO. 04/1314. Case Number:04/04/05/07. Case Type: Case 1/10/07/07 Case number: 04/04-13/08/07, Case ID: 1/11/07-1/12/05, Case Item Number: 1-13-05/08-07, Document ID:1/11-1-12/08, Document Type:01/13/06, Document Number: 01/01/06/07 - 1/
 Judgment -->", grant,support,train,44,gov.uscourts.ded.8666.105.0.txt
375,"Page 1 of 33. 33. 13 of 33, 33. 25, 33, and 33. 26 of 33 are used in this article. The 33. 7 of 33 is the current version of the 33rd page of this article, which has been updated from the original version of 3.3.1. It has also been updated to include the 33. 5th, 23rd, and 24th pages. This version includes the 3rd, 4th, 5th and 6th and 7th pages, as well as the 7th and 8th pages of the previous version. For more information, see: www.businessweek.com/businessweek/2007/07/30/33/13/33-13/13-13-33-3/33.html#storylink=cpy.
 Judgment -->", grant,support,train,44,gov.uscourts.ded.8666.106.0.txt
376,"Page 1 of 45.rehensibleCase 1:04-cv-01314-SLR. Case 1: 04-CV-013 14- SLR. Document 115. Case 2 of 45ensibly.™:Case 1 :04-v-013.14- SLR:   Document 115. case 1:14-v. 14-slR: Document 1:12-14-SlR: 1:15-15-16-18-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-48-49-50-51-52-53-54-56-57-58-59-60-61-62-63-64-64. Document 1:00-01-02-03-04-05-06-07
 Judgment -->", grant,opposition,train,44,gov.uscourts.ded.8666.115.0.txt
377,"The parties have signed a license agreement for the use of FUJIFILM's patented technology. The parties have also agreed to pay a fee to the U.S. Patent and Trademark Office for the right to use the technology. As a result of the parties' agreement, DVA must pay the fee. DVA claims the fee is the result of a violation of copyright law. The suit claims that DVA is entitled to the fee as part of the license agreement. The lawsuit also claims that the fee should not be paid because the company is not entitled to any of the rights to the technology under the license. The case is being heard in the United States District Court for the Southern District of New York, which is located in New York City.
 Judgment -->", grant,support,test,330,gov.uscourts.nysd.310004.19.0.txt
378,"Discovision Associates will move before the Honorable Paul A. Crotty, United States District Judge, Southern District of New York, for an order pursuant to 28 U.S.C. 28. The undersigned declares: I am a citizen of the United States, a resident of the County of Los Angeles, over the age of 18 years and not a party to this proceeding. My business address is 350 South Grand Avenue, 36th Floor, Los Angeles,. California 90071, and I amemployed in the office of a member of the bar of this Court. All feesprepaid by sender, addressed as follows:Steven J. Routh Eric J. Lobenfeld, L.L.P. Hogan & Hartson,. L.P., 875 Third Avenue, N.W. 20004-1109 New York,. New York 10022.
 Judgment -->", grant,support,test,330,gov.uscourts.nysd.310004.18.0.txt
379,"Fujifilm, FUJIFILM U.S.A. and FujifilM RMM Are Not Proper Defendants, There is Complete Diversity of Citizenship Among the. Parties to this Action, and Plaintiff’s Claims Require Resolution Of A Substantial Question Of.Federal Patent Law. Case 1:07-cv-06348-PAC. Document 21: 20:00-21:30 (PAC) (Petitioner) (Plaintiff) (CASE) ( Plaintiff) (Case) (PLA) (Patent) (Claims) (Court) (Prosecution) (Ruling) (No. 1:7-cv,06348) (PUP) (Brief) (Judge) (Ch. 2:1-2:2) (Defendant)
 Judgment -->", grant,opposition,test,330,gov.uscourts.nysd.310004.21.0.txt
380,"Plaintiff alleges that he was overdetained in the D.C. Jail, and the District of Columbia’s practice of allowing inmates to stay past their term ofincarceration is similar to that alleged in Carl A. Barnes, et al., v. District ofColumbia, Civil Action No. 06315 (RCL), which has been certified as a class of over-inflated prisoners. The District has filed a motion to consolidate the above-captioned matter with a pending certified class action. The plaintiffs’ counsel does not consent to the relief sought by the District. A proposed order is attached for this Court’S convenience. The district has asked the court to consolidate this matter with the pending class action in question.
 Judgment -->", deny,support,test,489,gov.uscourts.dcd.124713.25.0.txt
381,"Daniel Simmons seeks to consolidate his case with a class action against the District of Columbia. Simmons claims he was overdetained and then strip searched upon his return from court. The facts he must prove at trial are decidedly different from those the class action plaintiffs must prove. The court denies the motion to consolidate the case with Related Class Action on the following grounds: There exist some similarities between this pending case and a classAction before the court, Carl A. Barnes, et al., v. District of Washington, D.C., 2007 WL 896282 (D.D.C. March 26, 2007). The facts in this case are distinctly different from the facts required at trial in the classaction suit. The class action suit involves a radio that had been misappropriated by an inmate not housed near where Plaintiff was housed.
 Judgment -->", deny,opposition,test,489,gov.uscourts.dcd.124713.26.0.txt
382,"Plaintiffs move for permission to amend the operative complaint in the form attached “Exhibit A.” The proposed amended complaint would add a state law claim for failure to payovertime compensation in violation of M.G.Civ. c. 151, § 1A. Rule 15(a) of the Federal Rules of Civil Procedure provides that “leave [to amend a…]complaint] shall be freely given when justice so requires” Plaintiffs respectfully request that this Court grant them the right to amend their complaint. The case was recently transferred to the District of Massachusetts from the NorthernDistrict of Illinois on an uncontested motion by Defendants Saint Consulting Group, Inc., P.Michael Saint and Patrick Fox. The parties have not commenced discovery or engaged in any substantive briefing.
 Judgment -->", deny,support,test,846,gov.uscourts.mad.136008.52.0.txt
383,"The Saint Consulting Group, Inc. (“TSCG”), P. Michael Saint and PatrickFox (collectively “Defendants’), submit this opposition to Plaintiff’s Motion to File Second Amended Complaint. The proposed Massachusetts state law claim is based upon essentially the same allegations used to support Illinois claims. The Motion to Amend must be denied because: (1) it is futile; (2) it fails to meet the prerequisites of.Fed. R. Civ. P. 23(a) for class actions; and (3) it would unduly prejudice Defendants. The case was originally filed by Leigh Mayo on September 27, 2010 in the U.S. District Court for the Northern District of Illinois. Crystal Litz consented to become a party plaintiff to this. action on December 17, 2010.
 Judgment -->", deny,opposition,test,846,gov.uscourts.mad.136008.63.0.txt
384,"Plaintiffs Mynor Abdiel Tun-Cos, José Pajarito Saput, Luis Velasquez Perdomo, Pedro Velasque, Germán Velasques, Eduardo Montano Fernández, Nelson Callejas Peña, and José Cárcamo, through their counsel, respectfully seek leave to file the attached Notice of SupplementalAuthority Regarding Defendants’ Motion to Dismiss. The Defendants filed a motion to dismiss on January 2, 2018; Plaintiffs submitted their opposition on January 16, 2018, and the Defendants filed their reply on January 22, 2018. Plaintiffs seek an opportunity to inform this Court of this development, which is directly relevant to this Court’s consideration of Defendants' motion to dismissed. The Plaintiffs’ Notice of.Supplemental Authority concerns a Supreme Court decision issued yesterday, February 27, 2018 that is directly. relevant to the matter.
 Judgment -->", grant,support,train,790,gov.uscourts.vaed.371699.47.0.txt
385,"Justices offered three separate opinions on the applicability of 8 U.S.C. § 1252(b)(9) to those aliens’ claims. Justices Alito, Roberts and Kennedy agreed with Justice Breyer’s opinion on the reason that they could have secured a majority regarding the reason for the application of the law. But Justice Thomas, joined by Justice Gorsuch, opined that the law did not apply to the detained aliens. This is contrary to Plaintiffs’ argument in their Notice of Supplemental Authority, Jennings v.Rodriguez, No. 15-1204, -- S. Ct. --, 2018 WL 1054878 (U.S., Feb. 27, 2018), in which the Supreme Court considered detained aliens' claims that they are entitled to periodic bond hearings.
 Judgment -->", grant,opposition,train,790,gov.uscourts.vaed.371699.49.0.txt
386,"The undersigned attorney certifies that on April 13, 2015, he caused a true and correct copy of the foregoing to be served upon the following counsel of record via the Court's electronic filing system. The basis for said motion is contained in Defendant'sMemorandum in Support of Motion to Dismiss and Compel Individual Arbitration. The motion was submitted by Defendant Epic Systems Corporation, which is seeking to dismiss the complaint filed by Plaintiff and force individual arbitration. The complaint was filed in the U.S. District Court for the Western District of Wisconsin, and the motion was filed on behalf of Plaintiff and all other similarly situated, similarly situated plaintiffs. The lawsuit was filed by Epic Systems Corp. against the United States District Court, which was settled on April 12, 2015.
 Judgment -->", deny,support,train,341,gov.uscourts.wiwd.36346.19.0.txt
387,"Epic Systems Corporation has imposed upon its employees an unjustmandate to individually arbitrate their wage claims without the benefit of their collective right to engage in concerted activity with fellow employees. This class waiver provision cannot be enforced without offending the purpose of the National Labor Relations Act and Fair Labor Standards Act. The contract is not a product of mutual agreement or meaningful choice, but of Epic’s forced “assent” from Plaintiff, who could neitherseek understanding of the contract nor signal repudiation of its terms. Epic has in fact promised nothing in exchange for its employees losing their legal right to have their claims heard collectively in court. This Court must, in line with its previous rulings, invalidate the no-class.provision of Epic's arbitration contract.
 Judgment -->", deny,opposition,train,341,gov.uscourts.wiwd.36346.42.0.txt
388,"Bubble Gum Productions, LLC. is suing Comcast Cable Communications LLC, seeking to sue those who used an unidentified Internet Protocol (“IP”) address. The IP address owner should identify him- or herself before the Court relies upon any statement in the Notice. Comcast filed a memorandum in opposition to Plaitniff’s motion to compel Comcast to comply with a subpoena served in a “related’ case in Washington, D.C., and an order that the U.S. District Court for the District of Columbia made it. It did not include its briefs pending in the matter. Comcast represented among other things that this Court has dississed this Case, which is a false course of action, and that it is of a highly misleading nature. The Court severed Does 2 through 80 on the ground that they were not properly joined as defendants.
 Judgment -->", deny,support,train,782,gov.uscourts.flsd.393904.46.0.txt
389,"John Doe 67.77.173.88 by and through undersigned counsel, files this reply to Plaintiff’s Response to and Motion to Strike ‘Notice of Noncompliance,’ and to Stay and Reconsider August 2, 2012 Order. Plaintiff fails to justify the extraordinary relief sought in its attempt to have this.Court reconsider its Order. “Plaintiff makes two arguments in its Response: (1) that the Notice failed to comply with. Rule 11 because it included an anonymous declaration; and (2) that. the Notice did not identify any. noncompliance with this Court's Order. Both arguments fail.” “This Court should deny the relief sought. Thus, this Court should summarily deny this attempt.’
 Judgment -->", deny,opposition,train,782,gov.uscourts.flsd.393904.48.0.txt
390,"The Claimants, Sant MAI and PHUNG LEE, by and through their counsel of record, Richard M. Barnett, Attorney in Charge, and pursuant to Rule G(8)(e) of the Supplemental Rules, the United States is to forfeit $64,000 in money orders and cashier’s check. The motion is based on the instant motion, the attached Points and Authorities, the records and files in this matter, and any and all other matters which may be brought. to the attention of this Court prior to its ruling on this motion. The claimants reserved the right to move for Mitigation of Mitigation under the Excessive Fines Cause of the Eighth Amendment of the U.S. Constitution. The parties entered into an agreed Motion for Forfeiture Judgment, and on May 7, 2009, the parties granted the motion for forfeiture of 50 percent of the defendant.
 Judgment -->", deny,support,test,487,gov.uscourts.txsd.535128.25.0.txt
391,"Sant Hoa Mai and Vu Hoang, Claimants, arrived into the United States from Panama City, Panama, on board Continental Airlines flight 889. During a routine Customs inspection at the airport, a United StatesCustoms and Border Protection Officer (Customs Officer) asked them if they were transporting more than $10,000 in cash or monetary instruments. Each of them falsely stated verbally and in writing that they were not bringing into the U.S. $64,000 was seized by the Customs Officials. The parties settled the case by the Claimants agreeing to the forfeiture of $32,000 (50% of the $65,000) and the United states agreeing to return $32,.000 to the Claimant. The Claimants reserved their right to move to mitigate the $ 32,000 as an Excessive Fine under the Eighth Amendment.
 Judgment -->", deny,opposition,test,487,gov.uscourts.txsd.535128.26.0.txt
392,"Watts Guerra is a law firm that represents Aaron Thompson. Thompson and his firm, Watts Guerra LLP, are accused of making “misrepresentations’ allegedly made by attorney Thompson. The U.S. District Court in Richmond, Virginia, ordered Thompson to take down his company’s website. Thompson says the Order violates the First Amendment right to freedom of speech. He is seeking an immediate reconsideration of the Order and an expedited hearing on the motion. The motion was filed on 10/24/13 and has been filed again 10/25/13. The parties are seeking an injunction and a stay of the order. They are also seeking a temporary restraining order and a temporary injunction against Thompson and the defendants, the Risk & Information Group, Inc.
 Judgment -->", grant,support,test,1089,gov.uscourts.vaed.273842.86.0.txt
393,"Watts Guerra LLP files a Motion for Reconsideration and Expedited Briefing and Hearing in response to the Parties’ Joint Motion to Correct so-called “misrepresentations” made by attorney Ryan Thompson and his firm, Watts Guerra, LLP. The parties are seeking an expedited briefing and hearing schedule on this issue, as set forth in the accompanying Memorandum and Proposed Order. The Court’s subsequent Order regarding the “Take-Down Order” is referred to as the ‘Take- down Order’ (Docs. 82 and 83) and the ’Take-down Order is known as ‘The Take-Down order.’ The parties have filed a joint motion to vacate the 'Take- Down Order' (Doc. 84)
 Judgment -->", grant,support,test,1089,gov.uscourts.vaed.273842.85.0.txt
394,"Watts Guerra, LLP, and attorney Ryan Thompson (“Thompson’s”) have been unable to obtain an e-mail or telephonic response or communication from the parties. The parties have filed a joint memorandum of law in response to Watts Guerra's Motion for Reconsideration of the Court's October 23, 2013, Order requiring the law Firm to cease use of certain advertisements and communications. The Parties would agree to pay the expense absent a separate motion for separate remedy sought by independent motion. The matter could be referred to a Special Master. The Special Master would be tasked with determining the accuracy and ethical permissibility of the Watts. Guerra counter-notice campaign. This is not for any of the parties in the case to litigate, as the Virginia State Bar is likely to perform a proposed attorney review of the proposed advertising for ethical reasons.
 Judgment -->", grant,opposition,test,1089,gov.uscourts.vaed.273842.89.0.txt
395,"Harrison filed a motion to compel Malibu Media, LLC to produce all the documents requested by Harrison. He also asked the court to order Malibu to pay Harrison the reasonable expenses, including attorney's fees, incurred by Harrison as a result of Plaintiff’s failure to provide the requested discovery. Malibu has been ordered to produce any information it agreed to produce in its response to Harrison's Request for Production Nos. 6, 7, 9, 21, and 23 before December 13, 2013. The motion was filed in the U.S. District Court for the Southern District of Indiana on 01/09/14 at 8:30 a.m. ET. The hearing is expected to last at least one day and is scheduled to last up to three days.
 Judgment -->", deny,support,train,242,gov.uscourts.insd.41796.150.0.txt
396,"Michael Harrison moves this Court to enter an order granting Harrison’s Motion to Compel Discovery and the relief requested therein. Harrison submits this Brief in Support of his Motion. Case 1:12-cv-01117-WTL-MJD Document 151 Filed 01/09/14 Page 1 of 16 PageID #: 991                                . The motion may be made if a party fails to provide or respond to that inspection or fails to comply with that inspection. The court may issue further just orders under Rule. 37(b)(2)(A) of the Federal Rules of Civil Procedure if the party failing to comply does not pay reasonable expenses, including attorney's fees, caused by the failure, unless the failure was. adequately justified or other circumstances make an award of expenses unjust.
 Judgment -->", deny,support,train,242,gov.uscourts.insd.41796.151.0.txt
397,"Malibu Media, LLC, by and through undersigned counsel, responds to the Defendant’s Motion to Compel. The motion “completely circumvent[s] the protections afforded by Federal Rule of Civil Procedure.” Malibu Media is seeking to compel responses to the Defendants’ Requests for Production No. 6, 7, 9, 21, and 23. The request should be denied in its entirety, as explained more fully below. The court has previously ruled that a responding party does not have legal entitlement to documents merely because the requesting party asserts that the responding party has an extensive professional relationship with a nonparty. A party is only required to produce documents in its. “possession, custody, or control…” See Fed. R. Civ. P. 26(b).
 Judgment -->", deny,opposition,train,242,gov.uscourts.insd.41796.157.0.txt
398,"Malibu Media, LLC filed a motion for an extension of time to respond to Defendant Michael Harrison’s Motion to Compel. A hearing is scheduled for January 30, 2014 at 11:00 AM [CM/ECF 152]. The request is made in good faith and not made for the purpose of undue delay. None of the parties would be prejudiced by the granting of the extension, and said extension would not interfere with any case management deadlines because they were suspended by the Court on January 2, 2014. The motion was filed electronically on January 23, 2014, by Paul J. Nicoletti, Esq., of Nicoletti/Nicoletti, P.C., PLLC, (P44419) (Bloomfield Hills, MI 48304) (203-7800)
 Judgment -->", deny,opposition,train,242,gov.uscourts.insd.41796.153.0.txt
399,"The Pennsylvania State Police is seeking a continuance of the trial date previously scheduled in the above captioned case. This is an employment discrimination action brought pursuant to Title VII where the Plaintiff alleges that he was subjected to a hostile work environment and disparate treatment based on his race. At a pretrial conference convened by the Court on August 7, 2007, the case was listed for trial, with the finalpretrial conference and jury selection scheduled for 1:30 o’clock p.m. on October 9, 2007. Sidney Simon is currently the Security Manager for the Hershey Company; he is scheduled to attend a national conference on corporate security in New York. Mr. Simon is a critical witness for the defense, and the defense would be prejudiced if he were not available to testify. The Plaintiff’s counsel has indicated that Plaintiff does not consent to this request.
 Judgment -->", grant,support,train,558,gov.uscourts.pawd.2688.29.0.txt
400,"Billy R. Williams is suing the Pennsylvania State Police and the Commonwealth of Pennsylvania. He is seeking a continuance of the October 9, 2007 jury trial for the Defendant’s stated reasons. The defense has failed to pursue an alternative to the trial testimony of Sidney Simon by videotape prior to October 5, 2007. An appropriate Order is attached. The Court denies the Defendant's Motion for.Continuance for the stated reasons and Order that Defendant secure their defense trial. testimony of. Sidney Simon and cross examination by. Plaintiff’S attorney by videot tape. The videotape should be shown by Defendant to the jury during the. defense later in the week of October 9 or October 15, 2007 or the week. of October 15,. 2007. The Defendant has failed. to pursue this alternative with the Court.
 Judgment -->", grant,opposition,train,558,gov.uscourts.pawd.2688.30.0.txt
401,"The wire fraud charges should be dismissed because the allegedmisconduct occurred abroad. The wire fraud statute does not apply to extraterritorial conduct. The first scheme—an alleged “fraud” on Autonomy shareholders—is extraterritual and should be. dismissed. The securities fraud charge should be dismissal because the indictment.does not allege that Mr. Hussain acted “in connection with” HPQ securities. The indictment does not allege a scheme to defraud ‘in connection’ with the purchase or sale of U.S.-listed securities. Mr Hussain is accused of defrauding Autonomy’s shareholders in two separate schemes, one of which was on behalf of a Dutch-based Bidco. The second scheme is alleged to have taken place in connection with a separate Dutch Bidco scheme.
 Judgment -->", deny,support,test,97,gov.uscourts.cand.305114.113.0.txt
402,"Sushovan Hussain is accused of defrauding Hewlett-Packard in a multi-billion dollar fraud scheme. Hussain is alleged to have personally travelled to California in early 2011 to use “Autonomy’s false and misleading financial statements from 2009, 2010, and early 2011” to make Autonomy more attractive to a potential purchaser like HP. The United States has filed a motion to dismiss the indictment against Hussain. The motion should be denied because “there is no basis to. allege domestic violations of the wire fraud and conspiracy statutes,” according to the U.S. government. Hussain could reasonably expect to be prosecuted in the very jurisdiction where he allegedly pumped his false and. misleading story, the United States argues. The case belongs in this state, and in this country.
 Judgment -->", deny,opposition,test,97,gov.uscourts.cand.305114.115.0.txt
403,"The parties have reached an impasse on the following document requests: Electronic documents, including email, based on a targeted search for relevant electronicdocuments, which BOA still refuses to even perform in this case. Data BOA has withheld from a randomly selected sample of borrower account files, which the Court compelled last February. Plaintiffs respectfully request that the Court grant this Motion and compel BOA to produce the documents described herein. The documents Plaintiffs seek include materials this Court previously ordered BOA. to produce, but which still have not been fully produced. The parties have engaged in a series of. discovery conferences required by Local Rule 37.1, but were.unable to reach an agreement as to the items Plaintiffs. seek to compel. The moving party has been informed in good faith that Defendants oppose the relief sought herein.
 Judgment -->", deny,support,train,140,gov.uscourts.mad.131942.126.0.txt
404,"Bank of America, N.A. submits this motion seeking an extension of time to respond to Plaintiffs’ Motion to Compel (“Motion’) [Docket # 126]. As grounds for this motion, Bank of America states as follows: On July 23, 2012 Plaintiffs filed the Motion requesting an order compelling Bank of. America to produce certain documents and electronic records. Defendant’s response to. Plaintiffs' Motion is due on August 6, 2012. Defendant hereby moves to.extend its time to responding to the Motion by 14 days, to and including August 20, 2012, to accommodate both.travel and vacation schedules of counsel and client representatives. The Court will rule on this motion on August 20. The motion will be sent electronically to the registered participants as identified on the Notice of Electronic Filing (NEF) and paper copies will be. sent to those indicated as non-registered participants on July 31,2012.
 Judgment -->", deny,support,train,140,gov.uscourts.mad.131942.134.0.txt
405,"Bank of America is being sued by a group of homeowners who say they were misled by the company's mortgage program. The suit seeks to get the bank to hand over more information about its mortgage program to the U.S. Department of the Treasury. Some of the information requested by the plaintiffs does not exist or would be too burdensome to obtain. The plaintiffs say that the request for additional information should be denied because it would impose an undue burden on Bank of America. The judge ruled in favor of the bank in a previous version of this article, saying that it should be allowed to keep the requested information. The court has since ruled that this request should also be denied. The case is No. 1:10-md-02193-RWZ Document 137 Filed 08/20/12.
 Judgment -->", deny,opposition,train,140,gov.uscourts.mad.131942.137.0.txt
406,"Motion filed in U.S. District Court in Tallahassee, Florida. Plaintiffs ask the court to reconsider its order granting Rule 11 sanctions against them for filing this case in federal court. Motion is based on case in which judge granted preliminary injunction requiring a school district to implement a new Individual Education Program over the school district’s stay put objection. Case shows courts do have authority to grant injunctive relief in cases under the Individuals with Disabilities Education Act, when the circumstances are appropriate. Motion comes before the Court under Florida D.C. Administrative Code 6A-6A-334, or D.A. 6-334(2), for the determination of the Stay Put Placement Placement (‘Plaintiffs’ response) and Defendant.
 Judgment -->", deny,support,test,1096,gov.uscourts.flnd.67528.86.0.txt
407,"Plaintiffs filed a Motion for Reconsideration Rule 11 Sanctions against the School Board on July 29, 2013. The School Board, through its counsel, filed a Response to the Plaintiffs' Motion. The Court denied the motion because Plaintiffs failed to state a sufficient basis for reconsideration. The time limit for filing under Rule 59 has been expanded from ten days to twenty-eight days under Rule 60(e) The Court will construe the motion for. reconsideration as a motion for relief from an order pursuant to Federal Civil Procedure Rule. 60(b) Motion for Relief from Judgment of Order. The Motion must be denied because it was not filed within 10! days of the judgment that it. seeks to reopen. The motion must be. analyzed under the Rule 59 framework, rather than the Rule 60 framework, in light of such failure.
 Judgment -->", deny,opposition,test,1096,gov.uscourts.flnd.67528.87.0.txt
408,"Rita MariNa Hymes and Donald Louis Hymes (""the Hymes"") served upon the ""UNITED STATES OF AMERICA"" (""USA"") Requests for Admissions, Interrogatories and Discovery under the Federal Civil Rules for the First Set of Admissions to the USA, being Attachment 1. The Hymes linked the Admissions,. Interrogatory and Discovery by the exact.same means that Auchterlonie did to the Requests to the Hymes. The U.S. objected to this request on the ground that it is vague,ambiguous, and utterly unintelligible;. thus, it is incapable of being answered;. it is not asking for any conclusion of law, and/or asks the United State for an.interpretation of a document that speaks for itself.
 Judgment -->", deny,support,test,32,gov.uscourts.akd.336.102.0.txt
409,"The United States stands by each and every objection and response to the writtenophobicdiscovery requests of defendants. The United States respectfully requests that the Court deny defendants’ motion to compel. The U.S. is simply at a loss as to how to respond to defendants' mistaken beliefs about the Constitution and the federal tax laws. We are happy to clarify that a copy of the United States’ MOTION to compel was served by mail to defendants on April 9, 2007, and was returned to them the same day. The court has the power to compel defendants to pay back the money if they comply with the terms of the motion. The motion was filed by Donald L. HYMES; RITA M. HYmES; AND FAIRBANKS NORTHSTAR BOROUGH.
 Judgment -->", deny,opposition,test,32,gov.uscourts.akd.336.107.0.txt
410,"The motion is filed on behalf of the defendants who were, or whose predecessors were, members of the Fox River Group: CBC Coating Inc., Georgia-Pacific Consumer Products LP, Fort James Corporation, and Georgia- Pacific LLC (hereinafter, “FRG Defendants”) Appleton Papers Inc. and NCR Corporation are the defendants. The court has issued a final allocation ruling in two summary judgment opinions, dated December 16, 2009, and March 1, 2011. Plaintiffs say that the assessments previously paid would be reallocated by the court’s final ruling on allocation. By these rulings, Plaintiffs are 100% liable and owe full contribution to each FRG Defendant for costs they incurred in connection with OU2-5 of this Lower Fox River Site.
 Judgment -->", deny,support,train,109,gov.uscourts.wied.45575.1186.0.txt
411,"The motion is filed on behalf of the following defendants: CBC Coating Inc., Georgia Pacific Consumer ConsumerProducts LP (p/k/a Fort James Operating Company Fort James Corporation), and Georgia-Pacific LLC. The motion would simply clarify and confirm the FRGDefendants seek a judgment reallocating FRG assessments paid by each FRG Defendant. The FRG Defendants also submit along with this Motion a brief in support of the Motion. The Motion is filed under the heading, “The Motion for Leave to file an Amended Counterclaim against Appleton Papers Inc. and NCR Corporation’s (collectively, ‘Plaintiffs’) The motion was filed on September 23, 2011, and was filed in the U.S. District Court for the Eastern District of Wisconsin.
 Judgment -->", deny,support,train,109,gov.uscourts.wied.45575.1185.0.txt
412,"The Court initially ruled that “Plaintiffs’ liability under. the OU2-5 portions of the river is not contested,” Dkt. 1080 at 14. The Court then retracted this finding as to API when it granted API’s motion for reconsideration, stating: “Appleton Papers is correct that there was no basis to conclude that it had ‘conceded’ its liability in this action.” The Court reaffirmed that ruling in a subsequent decision in the enforcement action. “For the foregoing reasons, Plaintiff Appleton Papers Inc. respectfully requests that. the Court deny the FRG Defendants’ motion for leave to amend their counterclaims,’’ the court wrote. � “The Court has not yet rendered a final decision on API”
 Judgment -->", deny,opposition,train,109,gov.uscourts.wied.45575.1215.0.txt
